 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Hydrogen

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.0100E-01 g/cm3 = 6.0097E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 100.00 keV   1.450E+00  1.463E-01    3.70 um     2296 A      2825 A   
 110.00 keV   1.530E+00  1.362E-01    4.00 um     2399 A      2972 A   
 120.00 keV   1.607E+00  1.276E-01    4.29 um     2490 A      3106 A   
 130.00 keV   1.680E+00  1.201E-01    4.57 um     2572 A      3229 A   
 140.00 keV   1.750E+00  1.135E-01    4.84 um     2645 A      3342 A   
 150.00 keV   1.816E+00  1.077E-01    5.10 um     2712 A      3446 A   
 160.00 keV   1.878E+00  1.025E-01    5.36 um     2773 A      3544 A   
 170.00 keV   1.937E+00  9.782E-02    5.60 um     2830 A      3634 A   
 180.00 keV   1.993E+00  9.358E-02    5.84 um     2882 A      3719 A   
 200.00 keV   2.096E+00  8.622E-02    6.31 um     3012 A      3875 A   
 225.00 keV   2.209E+00  7.862E-02    6.86 um     3172 A      4047 A   
 250.00 keV   2.309E+00  7.236E-02    7.39 um     3311 A      4200 A   
 275.00 keV   2.398E+00  6.710E-02    7.90 um     3433 A      4338 A   
 300.00 keV   2.479E+00  6.260E-02    8.40 um     3544 A      4462 A   
 325.00 keV   2.552E+00  5.872E-02    8.88 um     3644 A      4577 A   
 350.00 keV   2.620E+00  5.533E-02    9.35 um     3736 A      4683 A   
 375.00 keV   2.684E+00  5.234E-02    9.81 um     3821 A      4781 A   
 400.00 keV   2.745E+00  4.968E-02   10.26 um     3900 A      4873 A   
 450.00 keV   2.861E+00  4.515E-02   11.13 um     4136 A      5041 A   
 500.00 keV   2.974E+00  4.144E-02   11.97 um     4342 A      5190 A   
 550.00 keV   3.085E+00  3.833E-02   12.77 um     4525 A      5324 A   
 600.00 keV   3.199E+00  3.568E-02   13.56 um     4688 A      5446 A   
 650.00 keV   3.316E+00  3.341E-02   14.31 um     4834 A      5557 A   
 700.00 keV   3.437E+00  3.142E-02   15.04 um     4967 A      5659 A   
 800.00 keV   3.694E+00  2.813E-02   16.42 um     5375 A      5838 A   
 900.00 keV   3.968E+00  2.550E-02   17.71 um     5706 A      5991 A   
   1.00 MeV   4.257E+00  2.335E-02   18.91 um     5979 A      6121 A   
   1.10 MeV   4.557E+00  2.155E-02   20.03 um     6206 A      6234 A   
   1.20 MeV   4.863E+00  2.003E-02   21.08 um     6399 A      6333 A   
   1.30 MeV   5.171E+00  1.872E-02   22.07 um     6564 A      6419 A   
   1.40 MeV   5.475E+00  1.759E-02   23.00 um     6707 A      6495 A   
   1.50 MeV   5.773E+00  1.659E-02   23.88 um     6833 A      6563 A   
   1.60 MeV   6.062E+00  1.570E-02   24.72 um     6944 A      6623 A   
   1.70 MeV   6.338E+00  1.491E-02   25.52 um     7044 A      6678 A   
   1.80 MeV   6.600E+00  1.421E-02   26.29 um     7134 A      6728 A   
   2.00 MeV   7.079E+00  1.298E-02   27.74 um     7436 A      6815 A   
   2.25 MeV   7.588E+00  1.174E-02   29.43 um     7824 A      6907 A   
   2.50 MeV   8.001E+00  1.072E-02   31.02 um     8152 A      6984 A   
   2.75 MeV   8.329E+00  9.880E-03   32.54 um     8439 A      7051 A   
   3.00 MeV   8.584E+00  9.166E-03   34.01 um     8698 A      7111 A   
   3.25 MeV   8.778E+00  8.554E-03   35.44 um     8936 A      7165 A   
   3.50 MeV   8.922E+00  8.023E-03   36.85 um     9159 A      7214 A   
   3.75 MeV   9.025E+00  7.557E-03   38.23 um     9371 A      7259 A   
   4.00 MeV   9.095E+00  7.146E-03   39.60 um     9575 A      7301 A   
   4.50 MeV   9.156E+00  6.450E-03   42.33 um     1.03 um     7379 A   
   5.00 MeV   9.141E+00  5.885E-03   45.04 um     1.10 um     7450 A   
   5.50 MeV   9.070E+00  5.415E-03   47.77 um     1.17 um     7516 A   
   6.00 MeV   8.959E+00  5.018E-03   50.53 um     1.23 um     7579 A   
   6.50 MeV   8.818E+00  4.679E-03   53.33 um     1.30 um     7639 A   
   7.00 MeV   8.655E+00  4.384E-03   56.17 um     1.36 um     7697 A   
   8.00 MeV   8.288E+00  3.899E-03   62.05 um     1.59 um     7810 A   
   9.00 MeV   7.894E+00  3.515E-03   68.20 um     1.81 um     7922 A   
  10.00 MeV   7.496E+00  3.203E-03   74.66 um     2.03 um     8035 A   
  11.00 MeV   7.106E+00  2.944E-03   81.48 um     2.25 um     8151 A   
  12.00 MeV   6.733E+00  2.726E-03   88.67 um     2.47 um     8272 A   
  13.00 MeV   6.381E+00  2.540E-03   96.26 um     2.69 um     8398 A   
  14.00 MeV   6.050E+00  2.378E-03  104.27 um     2.92 um     8530 A   
  15.00 MeV   5.741E+00  2.237E-03  112.71 um     3.16 um     8671 A   
  16.00 MeV   5.454E+00  2.112E-03  121.60 um     3.40 um     8821 A   
  17.00 MeV   5.188E+00  2.001E-03  130.95 um     3.65 um     8980 A   
  18.00 MeV   4.941E+00  1.902E-03  140.78 um     3.90 um     9150 A   
  20.00 MeV   4.499E+00  1.732E-03  161.89 um     4.92 um     9524 A   
  22.50 MeV   4.032E+00  1.559E-03  191.10 um     6.42 um     1.01 um  
  25.00 MeV   3.704E+00  1.419E-03  223.28 um     7.88 um     1.07 um  
  27.50 MeV   3.503E+00  1.303E-03  257.82 um     9.27 um     1.14 um  
  30.00 MeV   3.261E+00  1.205E-03  294.62 um    10.63 um     1.22 um  
  32.50 MeV   2.999E+00  1.122E-03  334.40 um    12.03 um     1.31 um  
  35.00 MeV   2.777E+00  1.049E-03  377.51 um    13.49 um     1.40 um  
  37.50 MeV   2.587E+00  9.863E-04  423.91 um    15.00 um     1.51 um  
  40.00 MeV   2.424E+00  9.307E-04  473.58 um    16.57 um     1.63 um  
  45.00 MeV   2.158E+00  8.371E-04  582.36 um    22.62 um     1.90 um  
  50.00 MeV   1.951E+00  7.613E-04  703.62 um    28.39 um     2.20 um  
  55.00 MeV   1.786E+00  6.985E-04  836.92 um    34.09 um     2.55 um  
  60.00 MeV   1.651E+00  6.458E-04  981.82 um    39.78 um     2.93 um  
  65.00 MeV   1.538E+00  6.007E-04    1.14 mm    45.51 um     3.35 um  
  70.00 MeV   1.442E+00  5.617E-04    1.31 mm    51.28 um     3.80 um  
  80.00 MeV   1.286E+00  4.978E-04    1.67 mm    72.83 um     4.79 um  
  90.00 MeV   1.163E+00  4.473E-04    2.08 mm    92.84 um     5.90 um  
 100.00 MeV   1.062E+00  4.066E-04    2.52 mm   112.39 um     7.13 um  
 110.00 MeV   9.769E-01  3.728E-04    3.01 mm   131.95 um     8.47 um  
 120.00 MeV   9.031E-01  3.445E-04    3.54 mm   151.76 um     9.93 um  
 130.00 MeV   8.384E-01  3.203E-04    4.11 mm   171.98 um    11.49 um  
 140.00 MeV   7.810E-01  2.994E-04    4.73 mm   192.74 um    13.18 um  
 150.00 MeV   7.298E-01  2.811E-04    5.39 mm   214.12 um    14.99 um  
 160.00 MeV   6.837E-01  2.651E-04    6.09 mm   236.18 um    16.92 um  
 170.00 MeV   6.421E-01  2.508E-04    6.84 mm   258.99 um    18.99 um  
 180.00 MeV   6.044E-01  2.381E-04    7.64 mm   282.58 um    21.18 um  
 200.00 MeV   5.394E-01  2.162E-04    9.39 mm   375.11 um    26.00 um  
 225.00 MeV   4.740E-01  1.942E-04   11.85 mm   511.85 um    32.84 um  
 250.00 MeV   4.231E-01  1.763E-04   14.62 mm   645.42 um    40.62 um  
 275.00 MeV   3.840E-01  1.616E-04   17.71 mm   779.30 um    49.32 um  
 300.00 MeV   3.549E-01  1.492E-04   21.08 mm   913.60 um    58.88 um  
 325.00 MeV   3.341E-01  1.386E-04   24.69 mm     1.05 mm    69.18 um  
 350.00 MeV   3.204E-01  1.295E-04   28.49 mm     1.18 mm    80.04 um  
 375.00 MeV   3.062E-01  1.216E-04   32.46 mm     1.30 mm    91.39 um  
 400.00 MeV   2.899E-01  1.146E-04   36.64 mm     1.43 mm   103.27 um  
 450.00 MeV   2.625E-01  1.028E-04   45.66 mm     1.92 mm   128.86 um  
