 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Si- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   3.993E-01  5.204E-01     537 A       270 A       198 A   
  13.00 keV   4.156E-01  5.095E-01     581 A       288 A       211 A   
  14.00 keV   4.313E-01  4.990E-01     625 A       305 A       225 A   
  15.00 keV   4.464E-01  4.890E-01     670 A       323 A       238 A   
  16.00 keV   4.610E-01  4.794E-01     714 A       339 A       252 A   
  17.00 keV   4.752E-01  4.702E-01     759 A       356 A       265 A   
  18.00 keV   4.890E-01  4.613E-01     803 A       372 A       278 A   
  20.00 keV   5.155E-01  4.448E-01     892 A       404 A       304 A   
  22.50 keV   5.467E-01  4.259E-01    1004 A       442 A       336 A   
  25.00 keV   5.856E-01  4.088E-01    1115 A       478 A       367 A   
  27.50 keV   6.321E-01  3.932E-01    1225 A       511 A       398 A   
  30.00 keV   6.718E-01  3.790E-01    1332 A       543 A       427 A   
  32.50 keV   7.059E-01  3.659E-01    1438 A       573 A       456 A   
  35.00 keV   7.355E-01  3.539E-01    1544 A       602 A       484 A   
  37.50 keV   7.618E-01  3.428E-01    1648 A       630 A       511 A   
  40.00 keV   7.854E-01  3.324E-01    1752 A       657 A       537 A   
  45.00 keV   8.270E-01  3.138E-01    1960 A       708 A       588 A   
  50.00 keV   8.637E-01  2.975E-01    2166 A       757 A       637 A   
  55.00 keV   8.972E-01  2.831E-01    2371 A       802 A       683 A   
