 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> April 24, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_DeuteriumTarget

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.0590E-01 g/cm3 = 6.1996E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   4.134E-01  3.871E-02    1660 A       392 A       388 A   
   1.50 keV   4.279E-01  3.701E-02    1756 A       402 A       402 A   
   1.60 keV   4.419E-01  3.547E-02    1851 A       412 A       416 A   
   1.70 keV   4.555E-01  3.406E-02    1943 A       422 A       430 A   
   1.80 keV   4.687E-01  3.278E-02    2034 A       430 A       442 A   
   2.00 keV   4.941E-01  3.052E-02    2210 A       446 A       466 A   
   2.25 keV   5.232E-01  2.815E-02    2421 A       464 A       492 A   
   2.50 keV   5.508E-01  2.615E-02    2624 A       479 A       516 A   
   2.75 keV   5.769E-01  2.445E-02    2820 A       493 A       538 A   
   3.00 keV   6.018E-01  2.298E-02    3008 A       505 A       558 A   
   3.25 keV   6.256E-01  2.170E-02    3191 A       516 A       576 A   
   3.50 keV   6.484E-01  2.057E-02    3367 A       526 A       593 A   
   3.75 keV   6.704E-01  1.956E-02    3539 A       535 A       609 A   
   4.00 keV   6.916E-01  1.866E-02    3706 A       544 A       624 A   
   4.50 keV   7.319E-01  1.710E-02    4028 A       559 A       651 A   
   5.00 keV   7.697E-01  1.581E-02    4335 A       573 A       675 A   
   5.50 keV   8.055E-01  1.472E-02    4630 A       585 A       697 A   
   6.00 keV   8.394E-01  1.378E-02    4913 A       595 A       716 A   
   6.50 keV   8.717E-01  1.296E-02    5186 A       605 A       734 A   
   7.00 keV   9.026E-01  1.225E-02    5451 A       613 A       750 A   
   8.00 keV   9.604E-01  1.105E-02    5956 A       630 A       779 A   
   9.00 keV   1.014E+00  1.008E-02    6436 A       644 A       805 A   
  10.00 keV   1.063E+00  9.286E-03    6892 A       657 A       827 A   
  11.00 keV   1.109E+00  8.615E-03    7330 A       667 A       847 A   
  12.00 keV   1.153E+00  8.042E-03    7752 A       677 A       865 A   
  13.00 keV   1.193E+00  7.546E-03    8159 A       686 A       882 A   
  14.00 keV   1.231E+00  7.113E-03    8553 A       694 A       897 A   
  15.00 keV   1.267E+00  6.731E-03    8937 A       701 A       911 A   
  16.00 keV   1.301E+00  6.391E-03    9310 A       707 A       924 A   
  17.00 keV   1.332E+00  6.086E-03    9675 A       714 A       936 A   
  18.00 keV   1.362E+00  5.811E-03    1.00 um      719 A       947 A   
  20.00 keV   1.417E+00  5.336E-03    1.07 um      733 A       968 A   
  22.50 keV   1.478E+00  4.847E-03    1.16 um      750 A       990 A   
  25.00 keV   1.530E+00  4.447E-03    1.24 um      765 A      1011 A   
  27.50 keV   1.575E+00  4.112E-03    1.31 um      778 A      1029 A   
  30.00 keV   1.614E+00  3.827E-03    1.39 um      791 A      1046 A   
  32.50 keV   1.646E+00  3.582E-03    1.46 um      803 A      1061 A   
  35.00 keV   1.674E+00  3.368E-03    1.54 um      813 A      1076 A   
  37.50 keV   1.697E+00  3.181E-03    1.61 um      824 A      1089 A   
  40.00 keV   1.715E+00  3.014E-03    1.68 um      834 A      1102 A   
  45.00 keV   1.742E+00  2.731E-03    1.82 um      863 A      1126 A   
  50.00 keV   1.755E+00  2.500E-03    1.96 um      891 A      1148 A   
  55.00 keV   1.759E+00  2.308E-03    2.09 um      918 A      1168 A   
  60.00 keV   1.755E+00  2.144E-03    2.23 um      944 A      1187 A   
  65.00 keV   1.744E+00  2.004E-03    2.37 um      969 A      1206 A   
  70.00 keV   1.727E+00  1.882E-03    2.51 um      993 A      1224 A   
  80.00 keV   1.684E+00  1.680E-03    2.79 um     1080 A      1259 A   
  90.00 keV   1.631E+00  1.519E-03    3.09 um     1164 A      1292 A   
 100.00 keV   1.573E+00  1.388E-03    3.39 um     1248 A      1326 A   
 110.00 keV   1.514E+00  1.279E-03    3.70 um     1333 A      1360 A   
 120.00 keV   1.455E+00  1.187E-03    4.03 um     1418 A      1394 A   
 130.00 keV   1.397E+00  1.108E-03    4.37 um     1505 A      1429 A   
 140.00 keV   1.342E+00  1.039E-03    4.72 um     1594 A      1464 A   
 150.00 keV   1.290E+00  9.793E-04    5.09 um     1684 A      1501 A   
 160.00 keV   1.240E+00  9.261E-04    5.48 um     1777 A      1540 A   
 170.00 keV   1.193E+00  8.787E-04    5.88 um     1873 A      1579 A   
 180.00 keV   1.150E+00  8.362E-04    6.29 um     1970 A      1621 A   
 200.00 keV   1.070E+00  7.630E-04    7.17 um     2342 A      1708 A   
 225.00 keV   9.840E-01  6.886E-04    8.35 um     2897 A      1827 A   
 250.00 keV   9.109E-01  6.281E-04    9.63 um     3436 A      1959 A   
 275.00 keV   8.482E-01  5.779E-04   11.01 um     3971 A      2102 A   
 300.00 keV   7.941E-01  5.355E-04   12.49 um     4508 A      2258 A   
 325.00 keV   7.470E-01  4.992E-04   14.06 um     5049 A      2426 A   
 350.00 keV   7.058E-01  4.677E-04   15.73 um     5597 A      2607 A   
 375.00 keV   6.693E-01  4.402E-04   17.50 um     6151 A      2800 A   
 400.00 keV   6.369E-01  4.159E-04   19.36 um     6714 A      3005 A   
 450.00 keV   5.816E-01  3.748E-04   23.35 um     8813 A      3451 A   
 500.00 keV   5.364E-01  3.415E-04   27.69 um     1.08 um     3942 A   
 550.00 keV   4.985E-01  3.139E-04   32.39 um     1.27 um     4476 A   
 600.00 keV   4.665E-01  2.906E-04   37.42 um     1.46 um     5052 A   
 650.00 keV   4.389E-01  2.707E-04   42.78 um     1.65 um     5668 A   
 700.00 keV   4.149E-01  2.535E-04   48.47 um     1.84 um     6322 A   
 800.00 keV   3.755E-01  2.251E-04   60.77 um     2.55 um     7739 A   
 900.00 keV   3.444E-01  2.027E-04   74.27 um     3.19 um     9291 A   
   1.00 MeV   3.193E-01  1.845E-04   88.91 um     3.82 um     1.10 um  
   1.10 MeV   3.104E-01  1.694E-04  104.33 um     4.41 um     1.27 um  
   1.20 MeV   3.015E-01  1.567E-04  120.19 um     4.96 um     1.45 um  
   1.30 MeV   2.841E-01  1.459E-04  136.78 um     5.50 um     1.64 um  
   1.40 MeV   2.688E-01  1.365E-04  154.35 um     6.05 um     1.84 um  
   1.50 MeV   2.549E-01  1.283E-04  172.89 um     6.60 um     2.04 um  
   1.60 MeV   2.424E-01  1.211E-04  192.42 um     7.17 um     2.25 um  
   1.70 MeV   2.310E-01  1.147E-04  212.94 um     7.75 um     2.47 um  
   1.80 MeV   2.205E-01  1.089E-04  234.45 um     8.35 um     2.70 um  
   2.00 MeV   2.021E-01  9.908E-05  280.46 um    10.62 um     3.20 um  
   2.25 MeV   1.829E-01  8.910E-05  343.60 um    13.91 um     3.86 um  
   2.50 MeV   1.672E-01  8.102E-05  413.00 um    17.07 um     4.59 um  
   2.75 MeV   1.542E-01  7.434E-05  488.60 um    20.19 um     5.39 um  
   3.00 MeV   1.431E-01  6.872E-05  570.33 um    23.31 um     6.24 um  
   3.25 MeV   1.336E-01  6.392E-05  658.10 um    26.47 um     7.15 um  
   3.50 MeV   1.254E-01  5.977E-05  751.85 um    29.66 um     8.12 um  
   3.75 MeV   1.183E-01  5.615E-05  851.51 um    32.90 um     9.16 um  
   4.00 MeV   1.119E-01  5.295E-05  957.01 um    36.19 um    10.25 um  
   4.50 MeV   1.012E-01  4.759E-05    1.19 mm    48.62 um    12.60 um  
   5.00 MeV   9.254E-02  4.324E-05    1.44 mm    60.32 um    15.19 um  
   5.50 MeV   8.533E-02  3.965E-05    1.71 mm    71.78 um    17.99 um  
   6.00 MeV   7.924E-02  3.663E-05    2.00 mm    83.20 um    21.02 um  
   6.50 MeV   7.403E-02  3.406E-05    2.32 mm    94.69 um    24.27 um  
   7.00 MeV   6.950E-02  3.183E-05    2.66 mm   106.28 um    27.72 um  
   8.00 MeV   6.204E-02  2.818E-05    3.40 mm   149.48 um    35.27 um  
   9.00 MeV   5.613E-02  2.531E-05    4.22 mm   189.83 um    43.63 um  
  10.00 MeV   5.132E-02  2.299E-05    5.13 mm   229.35 um    52.80 um  
  11.00 MeV   4.733E-02  2.107E-05    6.11 mm   268.81 um    62.76 um  
  12.00 MeV   4.396E-02  1.945E-05    7.18 mm   308.60 um    73.49 um  
  13.00 MeV   4.107E-02  1.808E-05    8.32 mm   348.91 um    84.98 um  
  14.00 MeV   3.856E-02  1.689E-05    9.54 mm   389.84 um    97.23 um  
  15.00 MeV   3.637E-02  1.586E-05   10.84 mm   431.44 um   110.21 um  
  16.00 MeV   3.443E-02  1.494E-05   12.21 mm   473.76 um   123.92 um  
