 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Boron

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 120.00 keV   1.529E+00  9.476E-02    4165 A       574 A       641 A   
 130.00 keV   1.590E+00  8.947E-02    4415 A       587 A       663 A   
 140.00 keV   1.644E+00  8.479E-02    4657 A       599 A       683 A   
 150.00 keV   1.693E+00  8.064E-02    4893 A       610 A       702 A   
 160.00 keV   1.739E+00  7.691E-02    5124 A       620 A       720 A   
 170.00 keV   1.780E+00  7.355E-02    5350 A       629 A       737 A   
 180.00 keV   1.819E+00  7.050E-02    5572 A       638 A       753 A   
 200.00 keV   1.890E+00  6.517E-02    6005 A       655 A       782 A   
 225.00 keV   1.969E+00  5.964E-02    6529 A       675 A       815 A   
 250.00 keV   2.041E+00  5.506E-02    7036 A       693 A       845 A   
 275.00 keV   2.108E+00  5.119E-02    7528 A       709 A       872 A   
 300.00 keV   2.170E+00  4.787E-02    8007 A       723 A       897 A   
 325.00 keV   2.230E+00  4.500E-02    8475 A       736 A       920 A   
 350.00 keV   2.287E+00  4.248E-02    8932 A       748 A       941 A   
 375.00 keV   2.343E+00  4.025E-02    9378 A       759 A       961 A   
 400.00 keV   2.397E+00  3.827E-02    9815 A       770 A       980 A   
 450.00 keV   2.503E+00  3.488E-02    1.07 um      793 A      1014 A   
 500.00 keV   2.606E+00  3.208E-02    1.15 um      813 A      1045 A   
 550.00 keV   2.707E+00  2.974E-02    1.23 um      831 A      1073 A   
 600.00 keV   2.805E+00  2.774E-02    1.30 um      848 A      1098 A   
 650.00 keV   2.901E+00  2.601E-02    1.38 um      863 A      1122 A   
 700.00 keV   2.994E+00  2.450E-02    1.45 um      876 A      1143 A   
 800.00 keV   3.173E+00  2.199E-02    1.58 um      910 A      1182 A   
 900.00 keV   3.340E+00  1.997E-02    1.71 um      939 A      1215 A   
   1.00 MeV   3.495E+00  1.832E-02    1.84 um      964 A      1244 A   
   1.10 MeV   3.636E+00  1.694E-02    1.95 um      987 A      1271 A   
   1.20 MeV   3.764E+00  1.577E-02    2.07 um     1007 A      1295 A   
   1.30 MeV   3.880E+00  1.476E-02    2.18 um     1026 A      1317 A   
   1.40 MeV   3.984E+00  1.388E-02    2.29 um     1043 A      1337 A   
   1.50 MeV   4.076E+00  1.310E-02    2.39 um     1058 A      1355 A   
   1.60 MeV   4.157E+00  1.242E-02    2.49 um     1073 A      1373 A   
   1.70 MeV   4.229E+00  1.181E-02    2.59 um     1087 A      1389 A   
   1.80 MeV   4.291E+00  1.125E-02    2.69 um     1100 A      1405 A   
   2.00 MeV   4.392E+00  1.030E-02    2.89 um     1142 A      1433 A   
   2.25 MeV   4.478E+00  9.329E-03    3.13 um     1199 A      1466 A   
   2.50 MeV   4.530E+00  8.534E-03    3.36 um     1252 A      1495 A   
   2.75 MeV   4.555E+00  7.872E-03    3.60 um     1301 A      1523 A   
   3.00 MeV   4.560E+00  7.311E-03    3.83 um     1348 A      1549 A   
   3.25 MeV   4.549E+00  6.830E-03    4.06 um     1393 A      1574 A   
   3.50 MeV   4.526E+00  6.411E-03    4.30 um     1438 A      1597 A   
   3.75 MeV   4.494E+00  6.044E-03    4.53 um     1481 A      1620 A   
   4.00 MeV   4.455E+00  5.719E-03    4.77 um     1523 A      1643 A   
   4.50 MeV   4.365E+00  5.169E-03    5.25 um     1677 A      1686 A   
   5.00 MeV   4.266E+00  4.722E-03    5.74 um     1824 A      1728 A   
   5.50 MeV   4.163E+00  4.349E-03    6.25 um     1967 A      1770 A   
   6.00 MeV   4.061E+00  4.034E-03    6.76 um     2105 A      1811 A   
   6.50 MeV   3.960E+00  3.764E-03    7.29 um     2242 A      1852 A   
   7.00 MeV   3.864E+00  3.530E-03    7.84 um     2377 A      1893 A   
   8.00 MeV   3.682E+00  3.143E-03    8.96 um     2875 A      1977 A   
   9.00 MeV   3.517E+00  2.837E-03   10.15 um     3336 A      2063 A   
  10.00 MeV   3.366E+00  2.587E-03   11.38 um     3778 A      2151 A   
  11.00 MeV   3.230E+00  2.380E-03   12.67 um     4206 A      2242 A   
  12.00 MeV   3.105E+00  2.206E-03   14.01 um     4625 A      2337 A   
  13.00 MeV   2.990E+00  2.056E-03   15.41 um     5040 A      2434 A   
  14.00 MeV   2.884E+00  1.927E-03   16.86 um     5451 A      2535 A   
  15.00 MeV   2.785E+00  1.813E-03   18.36 um     5860 A      2640 A   
  16.00 MeV   2.693E+00  1.713E-03   19.91 um     6269 A      2748 A   
  17.00 MeV   2.607E+00  1.624E-03   21.52 um     6679 A      2859 A   
  18.00 MeV   2.526E+00  1.544E-03   23.17 um     7089 A      2974 A   
  20.00 MeV   2.378E+00  1.407E-03   26.64 um     8644 A      3216 A   
  22.50 MeV   2.215E+00  1.267E-03   31.28 um     1.09 um     3538 A   
  25.00 MeV   2.082E+00  1.154E-03   36.23 um     1.30 um     3883 A   
  27.50 MeV   1.968E+00  1.061E-03   41.48 um     1.50 um     4249 A   
  30.00 MeV   1.855E+00  9.818E-04   47.05 um     1.69 um     4636 A   
  32.50 MeV   1.760E+00  9.143E-04   52.93 um     1.89 um     5045 A   
  35.00 MeV   1.672E+00  8.559E-04   59.13 um     2.09 um     5475 A   
  37.50 MeV   1.592E+00  8.048E-04   65.65 um     2.28 um     5926 A   
  40.00 MeV   1.518E+00  7.598E-04   72.49 um     2.48 um     6398 A   
  45.00 MeV   1.388E+00  6.839E-04   87.14 um     3.24 um     7409 A   
  50.00 MeV   1.276E+00  6.223E-04  103.13 um     3.96 um     8508 A   
  55.00 MeV   1.180E+00  5.714E-04  120.45 um     4.66 um     9696 A   
  60.00 MeV   1.097E+00  5.285E-04  139.15 um     5.36 um     1.10 um  
  65.00 MeV   1.025E+00  4.918E-04  159.21 um     6.07 um     1.23 um  
  70.00 MeV   9.613E-01  4.601E-04  180.64 um     6.80 um     1.38 um  
  80.00 MeV   8.560E-01  4.080E-04  227.54 um     9.51 um     1.70 um  
  90.00 MeV   7.728E-01  3.670E-04  279.86 um    12.07 um     2.06 um  
 100.00 MeV   7.057E-01  3.337E-04  337.47 um    14.58 um     2.45 um  
 110.00 MeV   6.508E-01  3.062E-04  400.26 um    17.09 um     2.88 um  
 120.00 MeV   6.050E-01  2.830E-04  468.06 um    19.61 um     3.34 um  
 130.00 MeV   5.664E-01  2.632E-04  540.74 um    22.16 um     3.83 um  
 140.00 MeV   5.332E-01  2.461E-04  618.15 um    24.74 um     4.36 um  
 150.00 MeV   5.044E-01  2.312E-04  700.18 um    27.35 um     4.91 um  
 160.00 MeV   4.792E-01  2.181E-04  786.71 um    29.99 um     5.50 um  
 170.00 MeV   4.567E-01  2.064E-04  877.66 um    32.66 um     6.12 um  
 180.00 MeV   4.365E-01  1.960E-04  972.94 um    35.36 um     6.76 um  
 200.00 MeV   4.016E-01  1.781E-04    1.18 mm    45.63 um     8.13 um  
 225.00 MeV   3.654E-01  1.600E-04    1.45 mm    60.27 um     9.99 um  
 250.00 MeV   3.352E-01  1.454E-04    1.76 mm    74.11 um    12.02 um  
 275.00 MeV   3.094E-01  1.333E-04    2.09 mm    87.69 um    14.21 um  
