 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Aluminum

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 120.00 keV   9.214E-01  8.277E-02    4773 A      1174 A      1167 A   
 130.00 keV   9.520E-01  7.851E-02    5103 A      1211 A      1218 A   
 140.00 keV   9.812E-01  7.472E-02    5427 A      1246 A      1267 A   
 150.00 keV   1.009E+00  7.132E-02    5745 A      1278 A      1312 A   
 160.00 keV   1.037E+00  6.826E-02    6058 A      1308 A      1356 A   
 170.00 keV   1.063E+00  6.548E-02    6365 A      1336 A      1397 A   
 180.00 keV   1.089E+00  6.294E-02    6667 A      1363 A      1437 A   
 200.00 keV   1.140E+00  5.848E-02    7255 A      1412 A      1511 A   
 225.00 keV   1.201E+00  5.381E-02    7965 A      1467 A      1595 A   
 250.00 keV   1.261E+00  4.991E-02    8648 A      1516 A      1672 A   
 275.00 keV   1.319E+00  4.659E-02    9305 A      1559 A      1742 A   
 300.00 keV   1.375E+00  4.373E-02    9940 A      1597 A      1806 A   
 325.00 keV   1.430E+00  4.124E-02    1.06 um     1632 A      1865 A   
 350.00 keV   1.484E+00  3.904E-02    1.11 um     1663 A      1920 A   
 375.00 keV   1.536E+00  3.709E-02    1.17 um     1691 A      1970 A   
 400.00 keV   1.587E+00  3.535E-02    1.23 um     1718 A      2018 A   
 450.00 keV   1.685E+00  3.235E-02    1.34 um     1767 A      2104 A   
 500.00 keV   1.778E+00  2.986E-02    1.44 um     1809 A      2180 A   
 550.00 keV   1.866E+00  2.776E-02    1.54 um     1846 A      2248 A   
 600.00 keV   1.949E+00  2.597E-02    1.63 um     1878 A      2310 A   
 650.00 keV   2.027E+00  2.441E-02    1.72 um     1907 A      2366 A   
 700.00 keV   2.100E+00  2.304E-02    1.81 um     1933 A      2417 A   
 800.00 keV   2.234E+00  2.076E-02    1.97 um     1985 A      2509 A   
 900.00 keV   2.352E+00  1.892E-02    2.13 um     2030 A      2588 A   
   1.00 MeV   2.456E+00  1.740E-02    2.28 um     2068 A      2658 A   
   1.10 MeV   2.547E+00  1.613E-02    2.43 um     2102 A      2721 A   
   1.20 MeV   2.627E+00  1.505E-02    2.57 um     2133 A      2778 A   
   1.30 MeV   2.696E+00  1.411E-02    2.70 um     2161 A      2830 A   
   1.40 MeV   2.757E+00  1.329E-02    2.84 um     2187 A      2879 A   
   1.50 MeV   2.809E+00  1.257E-02    2.97 um     2211 A      2924 A   
   1.60 MeV   2.854E+00  1.193E-02    3.10 um     2233 A      2966 A   
   1.70 MeV   2.893E+00  1.135E-02    3.23 um     2254 A      3006 A   
   1.80 MeV   2.927E+00  1.083E-02    3.35 um     2274 A      3044 A   
   2.00 MeV   2.980E+00  9.939E-03    3.60 um     2325 A      3115 A   
   2.25 MeV   3.024E+00  9.022E-03    3.91 um     2392 A      3196 A   
   2.50 MeV   3.050E+00  8.270E-03    4.21 um     2454 A      3270 A   
   2.75 MeV   3.063E+00  7.642E-03    4.51 um     2513 A      3340 A   
   3.00 MeV   3.066E+00  7.109E-03    4.81 um     2570 A      3406 A   
   3.25 MeV   3.061E+00  6.650E-03    5.11 um     2624 A      3469 A   
   3.50 MeV   3.051E+00  6.250E-03    5.41 um     2677 A      3530 A   
   3.75 MeV   3.037E+00  5.899E-03    5.71 um     2729 A      3588 A   
   4.00 MeV   3.019E+00  5.588E-03    6.02 um     2781 A      3645 A   
   4.50 MeV   2.979E+00  5.061E-03    6.63 um     2946 A      3755 A   
   5.00 MeV   2.933E+00  4.630E-03    7.26 um     3105 A      3862 A   
   5.50 MeV   2.886E+00  4.270E-03    7.89 um     3261 A      3966 A   
   6.00 MeV   2.839E+00  3.966E-03    8.53 um     3414 A      4069 A   
   6.50 MeV   2.792E+00  3.705E-03    9.19 um     3565 A      4170 A   
   7.00 MeV   2.746E+00  3.478E-03    9.86 um     3714 A      4270 A   
   8.00 MeV   2.658E+00  3.103E-03   11.22 um     4234 A      4471 A   
   9.00 MeV   2.576E+00  2.804E-03   12.63 um     4725 A      4671 A   
  10.00 MeV   2.500E+00  2.561E-03   14.09 um     5197 A      4873 A   
  11.00 MeV   2.429E+00  2.359E-03   15.59 um     5654 A      5077 A   
  12.00 MeV   2.362E+00  2.188E-03   17.13 um     6100 A      5283 A   
  13.00 MeV   2.300E+00  2.042E-03   18.72 um     6539 A      5493 A   
  14.00 MeV   2.241E+00  1.915E-03   20.34 um     6972 A      5706 A   
  15.00 MeV   2.185E+00  1.804E-03   22.01 um     7400 A      5922 A   
  16.00 MeV   2.133E+00  1.705E-03   23.73 um     7826 A      6141 A   
  17.00 MeV   2.083E+00  1.617E-03   25.48 um     8248 A      6365 A   
  18.00 MeV   2.035E+00  1.539E-03   27.28 um     8670 A      6592 A   
  20.00 MeV   1.946E+00  1.404E-03   30.99 um     1.02 um     7058 A   
  22.50 MeV   1.845E+00  1.266E-03   35.87 um     1.24 um     7662 A   
  25.00 MeV   1.756E+00  1.155E-03   41.01 um     1.45 um     8292 A   
