 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> June 13, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_Boron.dat

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.711E-01  1.710E-02     227 A       131 A       110 A   
   1.50 keV   1.771E-01  1.657E-02     242 A       136 A       115 A   
   1.60 keV   1.829E-01  1.608E-02     256 A       140 A       119 A   
   1.70 keV   1.886E-01  1.563E-02     271 A       145 A       124 A   
   1.80 keV   1.940E-01  1.520E-02     285 A       149 A       128 A   
   2.00 keV   2.045E-01  1.442E-02     314 A       157 A       137 A   
   2.25 keV   2.154E-01  1.358E-02     348 A       166 A       146 A   
   2.50 keV   2.259E-01  1.284E-02     382 A       174 A       156 A   
   2.75 keV   2.360E-01  1.219E-02     416 A       182 A       164 A   
   3.00 keV   2.457E-01  1.161E-02     448 A       189 A       172 A   
   3.25 keV   2.552E-01  1.109E-02     481 A       196 A       180 A   
   3.50 keV   2.643E-01  1.062E-02     512 A       202 A       187 A   
   3.75 keV   2.731E-01  1.020E-02     543 A       207 A       194 A   
   4.00 keV   2.817E-01  9.816E-03     573 A       213 A       201 A   
   4.50 keV   2.979E-01  9.138E-03     633 A       222 A       213 A   
   5.00 keV   3.131E-01  8.560E-03     690 A       231 A       224 A   
   5.50 keV   3.273E-01  8.060E-03     745 A       239 A       235 A   
   6.00 keV   3.406E-01  7.623E-03     800 A       246 A       245 A   
   6.50 keV   3.531E-01  7.236E-03     852 A       252 A       254 A   
   7.00 keV   3.649E-01  6.892E-03     904 A       258 A       262 A   
   8.00 keV   3.868E-01  6.305E-03    1003 A       269 A       278 A   
   9.00 keV   4.071E-01  5.820E-03    1099 A       278 A       292 A   
  10.00 keV   4.261E-01  5.413E-03    1191 A       286 A       304 A   
  11.00 keV   4.442E-01  5.066E-03    1280 A       293 A       316 A   
  12.00 keV   4.616E-01  4.765E-03    1367 A       300 A       327 A   
  13.00 keV   4.783E-01  4.502E-03    1450 A       305 A       337 A   
  14.00 keV   4.945E-01  4.269E-03    1532 A       311 A       346 A   
  15.00 keV   5.100E-01  4.062E-03    1611 A       316 A       354 A   
  16.00 keV   5.250E-01  3.876E-03    1688 A       320 A       362 A   
  17.00 keV   5.394E-01  3.708E-03    1764 A       324 A       370 A   
  18.00 keV   5.532E-01  3.556E-03    1837 A       328 A       377 A   
  20.00 keV   5.790E-01  3.290E-03    1980 A       335 A       390 A   
  22.50 keV   6.081E-01  3.013E-03    2152 A       343 A       405 A   
  25.00 keV   6.338E-01  2.783E-03    2316 A       350 A       418 A   
  27.50 keV   6.562E-01  2.589E-03    2475 A       357 A       430 A   
  30.00 keV   6.758E-01  2.423E-03    2630 A       362 A       441 A   
  32.50 keV   6.926E-01  2.279E-03    2781 A       367 A       452 A   
  35.00 keV   7.070E-01  2.152E-03    2929 A       372 A       461 A   
  37.50 keV   7.192E-01  2.040E-03    3074 A       376 A       470 A   
  40.00 keV   7.294E-01  1.940E-03    3218 A       380 A       479 A   
  45.00 keV   7.448E-01  1.769E-03    3500 A       389 A       494 A   
  50.00 keV   7.545E-01  1.628E-03    3779 A       397 A       509 A   
  55.00 keV   7.597E-01  1.510E-03    4055 A       404 A       523 A   
  60.00 keV   7.615E-01  1.409E-03    4331 A       411 A       535 A   
  65.00 keV   7.605E-01  1.322E-03    4606 A       417 A       548 A   
  70.00 keV   7.574E-01  1.245E-03    4883 A       423 A       560 A   
  80.00 keV   7.468E-01  1.118E-03    5442 A       439 A       583 A   
  90.00 keV   7.323E-01  1.016E-03    6012 A       454 A       605 A   
 100.00 keV   7.157E-01  9.327E-04    6594 A       468 A       626 A   
 110.00 keV   6.981E-01  8.627E-04    7191 A       483 A       648 A   
 120.00 keV   6.802E-01  8.032E-04    7803 A       498 A       669 A   
 130.00 keV   6.625E-01  7.520E-04    8433 A       512 A       690 A   
