 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Phosphorus

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  13.00 keV   4.668E-01  3.856E-01     576 A       332 A       250 A   
  14.00 keV   4.844E-01  3.794E-01     617 A       350 A       264 A   
  15.00 keV   5.014E-01  3.733E-01     658 A       368 A       278 A   
  16.00 keV   5.179E-01  3.674E-01     699 A       385 A       292 A   
  17.00 keV   5.338E-01  3.617E-01     740 A       402 A       306 A   
  18.00 keV   5.493E-01  3.562E-01     781 A       419 A       320 A   
  20.00 keV   5.790E-01  3.455E-01     862 A       451 A       346 A   
  22.50 keV   6.141E-01  3.332E-01     964 A       489 A       379 A   
  25.00 keV   6.466E-01  3.217E-01    1065 A       526 A       410 A   
  27.50 keV   6.747E-01  3.111E-01    1165 A       560 A       440 A   
  30.00 keV   6.994E-01  3.013E-01    1265 A       594 A       470 A   
  32.50 keV   7.227E-01  2.922E-01    1365 A       626 A       499 A   
  35.00 keV   7.466E-01  2.837E-01    1465 A       658 A       527 A   
  37.50 keV   7.725E-01  2.757E-01    1564 A       688 A       554 A   
  40.00 keV   8.007E-01  2.683E-01    1662 A       717 A       581 A   
  45.00 keV   8.615E-01  2.547E-01    1855 A       770 A       633 A   
  50.00 keV   9.238E-01  2.427E-01    2042 A       819 A       682 A   
  55.00 keV   9.840E-01  2.319E-01    2224 A       864 A       729 A   
  60.00 keV   1.041E+00  2.222E-01    2401 A       906 A       773 A   
  65.00 keV   1.095E+00  2.134E-01    2574 A       944 A       814 A   
  70.00 keV   1.146E+00  2.054E-01    2743 A       979 A       854 A   
  80.00 keV   1.239E+00  1.914E-01    3071 A      1044 A       927 A   
  90.00 keV   1.325E+00  1.794E-01    3386 A      1101 A       994 A   
 100.00 keV   1.404E+00  1.690E-01    3692 A      1152 A      1055 A   
 110.00 keV   1.479E+00  1.600E-01    3987 A      1198 A      1112 A   
 120.00 keV   1.550E+00  1.520E-01    4275 A      1240 A      1164 A   
 130.00 keV   1.619E+00  1.448E-01    4554 A      1279 A      1214 A   
 140.00 keV   1.684E+00  1.384E-01    4826 A      1314 A      1260 A   
 150.00 keV   1.748E+00  1.327E-01    5092 A      1346 A      1303 A   
 160.00 keV   1.810E+00  1.274E-01    5351 A      1376 A      1344 A   
 170.00 keV   1.870E+00  1.226E-01    5604 A      1404 A      1383 A   
 180.00 keV   1.929E+00  1.183E-01    5851 A      1430 A      1420 A   
 200.00 keV   2.042E+00  1.105E-01    6330 A      1477 A      1488 A   
 225.00 keV   2.176E+00  1.023E-01    6903 A      1529 A      1564 A   
 250.00 keV   2.303E+00  9.530E-02    7450 A      1575 A      1633 A   
 275.00 keV   2.424E+00  8.935E-02    7974 A      1614 A      1695 A   
 300.00 keV   2.539E+00  8.418E-02    8477 A      1649 A      1751 A   
 325.00 keV   2.648E+00  7.965E-02    8963 A      1681 A      1803 A   
 350.00 keV   2.752E+00  7.563E-02    9433 A      1709 A      1851 A   
 375.00 keV   2.851E+00  7.205E-02    9889 A      1735 A      1895 A   
 400.00 keV   2.945E+00  6.883E-02    1.03 um     1759 A      1937 A   
 450.00 keV   3.120E+00  6.326E-02    1.12 um     1803 A      2011 A   
 500.00 keV   3.277E+00  5.862E-02    1.20 um     1840 A      2078 A   
 550.00 keV   3.420E+00  5.468E-02    1.28 um     1873 A      2138 A   
 600.00 keV   3.550E+00  5.128E-02    1.35 um     1903 A      2192 A   
 650.00 keV   3.668E+00  4.833E-02    1.43 um     1929 A      2242 A   
 700.00 keV   3.775E+00  4.573E-02    1.50 um     1953 A      2288 A   
 800.00 keV   3.960E+00  4.135E-02    1.63 um     2000 A      2371 A   
 900.00 keV   4.115E+00  3.781E-02    1.77 um     2041 A      2444 A   
   1.00 MeV   4.244E+00  3.488E-02    1.89 um     2078 A      2511 A   
   1.10 MeV   4.352E+00  3.241E-02    2.02 um     2110 A      2571 A   
   1.20 MeV   4.443E+00  3.030E-02    2.14 um     2140 A      2626 A   
   1.30 MeV   4.520E+00  2.847E-02    2.26 um     2168 A      2678 A   
   1.40 MeV   4.585E+00  2.686E-02    2.38 um     2194 A      2727 A   
   1.50 MeV   4.641E+00  2.544E-02    2.50 um     2219 A      2773 A   
   1.60 MeV   4.688E+00  2.418E-02    2.61 um     2242 A      2816 A   
   1.70 MeV   4.729E+00  2.305E-02    2.73 um     2264 A      2858 A   
   1.80 MeV   4.764E+00  2.202E-02    2.84 um     2285 A      2898 A   
   2.00 MeV   4.819E+00  2.025E-02    3.07 um     2336 A      2974 A   
   2.25 MeV   4.867E+00  1.842E-02    3.35 um     2402 A      3062 A   
