 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Silver

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 120.00 keV   3.202E-01  4.127E-02    2221 A      1296 A      1097 A   
 130.00 keV   3.360E-01  3.961E-02    2393 A      1352 A      1154 A   
 140.00 keV   3.511E-01  3.810E-02    2562 A      1405 A      1208 A   
 150.00 keV   3.657E-01  3.671E-02    2728 A      1454 A      1259 A   
 160.00 keV   3.798E-01  3.545E-02    2892 A      1501 A      1309 A   
 170.00 keV   3.935E-01  3.428E-02    3054 A      1545 A      1356 A   
 180.00 keV   4.067E-01  3.319E-02    3213 A      1586 A      1401 A   
 200.00 keV   4.320E-01  3.125E-02    3526 A      1663 A      1487 A   
 225.00 keV   4.619E-01  2.916E-02    3905 A      1748 A      1586 A   
 250.00 keV   4.902E-01  2.737E-02    4273 A      1825 A      1676 A   
 275.00 keV   5.171E-01  2.582E-02    4630 A      1894 A      1760 A   
 300.00 keV   5.429E-01  2.446E-02    4977 A      1956 A      1838 A   
 325.00 keV   5.676E-01  2.325E-02    5315 A      2013 A      1910 A   
 350.00 keV   5.915E-01  2.218E-02    5644 A      2064 A      1978 A   
 375.00 keV   6.145E-01  2.121E-02    5965 A      2112 A      2042 A   
 400.00 keV   6.369E-01  2.033E-02    6278 A      2156 A      2102 A   
 450.00 keV   6.798E-01  1.880E-02    6884 A      2236 A      2212 A   
 500.00 keV   7.205E-01  1.752E-02    7465 A      2305 A      2312 A   
 550.00 keV   7.593E-01  1.641E-02    8022 A      2366 A      2402 A   
