 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Phosphorus

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.8219E+00 g/cm3 = 3.5422E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      P     15    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 110.00 keV   9.137E-01  8.475E-02    7008 A      2006 A      1945 A   
 120.00 keV   9.669E-01  8.016E-02    7481 A      2067 A      2029 A   
 130.00 keV   1.017E+00  7.610E-02    7938 A      2122 A      2106 A   
 140.00 keV   1.064E+00  7.249E-02    8380 A      2172 A      2177 A   
 150.00 keV   1.109E+00  6.924E-02    8809 A      2217 A      2244 A   
 160.00 keV   1.151E+00  6.631E-02    9226 A      2258 A      2305 A   
 170.00 keV   1.192E+00  6.366E-02    9632 A      2296 A      2363 A   
 180.00 keV   1.230E+00  6.123E-02    1.00 um     2331 A      2417 A   
 200.00 keV   1.303E+00  5.695E-02    1.08 um     2395 A      2517 A   
 225.00 keV   1.387E+00  5.246E-02    1.17 um     2465 A      2628 A   
 250.00 keV   1.465E+00  4.871E-02    1.26 um     2525 A      2726 A   
 275.00 keV   1.538E+00  4.551E-02    1.34 um     2577 A      2815 A   
 300.00 keV   1.606E+00  4.274E-02    1.42 um     2624 A      2895 A   
 325.00 keV   1.670E+00  4.033E-02    1.50 um     2665 A      2969 A   
 350.00 keV   1.731E+00  3.821E-02    1.58 um     2703 A      3036 A   
 375.00 keV   1.789E+00  3.632E-02    1.65 um     2737 A      3099 A   
 400.00 keV   1.844E+00  3.462E-02    1.72 um     2768 A      3157 A   
 450.00 keV   1.946E+00  3.171E-02    1.86 um     2826 A      3262 A   
 500.00 keV   2.041E+00  2.930E-02    1.99 um     2876 A      3356 A   
 550.00 keV   2.127E+00  2.726E-02    2.12 um     2920 A      3439 A   
 600.00 keV   2.207E+00  2.551E-02    2.24 um     2959 A      3516 A   
 650.00 keV   2.280E+00  2.399E-02    2.36 um     2994 A      3585 A   
 700.00 keV   2.348E+00  2.265E-02    2.47 um     3026 A      3649 A   
 800.00 keV   2.468E+00  2.042E-02    2.70 um     3090 A      3764 A   
 900.00 keV   2.571E+00  1.863E-02    2.91 um     3146 A      3866 A   
   1.00 MeV   2.660E+00  1.714E-02    3.11 um     3195 A      3956 A   
   1.10 MeV   2.735E+00  1.590E-02    3.31 um     3239 A      4039 A   
   1.20 MeV   2.799E+00  1.483E-02    3.51 um     3279 A      4114 A   
   1.30 MeV   2.854E+00  1.392E-02    3.70 um     3316 A      4184 A   
   1.40 MeV   2.901E+00  1.311E-02    3.89 um     3350 A      4250 A   
   1.50 MeV   2.940E+00  1.240E-02    4.07 um     3383 A      4311 A   
   1.60 MeV   2.974E+00  1.178E-02    4.26 um     3414 A      4370 A   
   1.70 MeV   3.002E+00  1.121E-02    4.44 um     3443 A      4425 A   
   1.80 MeV   3.026E+00  1.070E-02    4.62 um     3471 A      4479 A   
   2.00 MeV   3.061E+00  9.823E-03    4.98 um     3542 A      4579 A   
   2.25 MeV   3.088E+00  8.920E-03    5.42 um     3636 A      4695 A   
   2.50 MeV   3.101E+00  8.180E-03    5.86 um     3724 A      4804 A   
   2.75 MeV   3.104E+00  7.562E-03    6.30 um     3809 A      4906 A   
   3.00 MeV   3.100E+00  7.036E-03    6.74 um     3891 A      5004 A   
   3.25 MeV   3.090E+00  6.584E-03    7.18 um     3971 A      5099 A   
   3.50 MeV   3.076E+00  6.190E-03    7.62 um     4048 A      5190 A   
   3.75 MeV   3.058E+00  5.843E-03    8.07 um     4125 A      5279 A   
