 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in Si- O

 Ion = Beryllium [4] , Mass = 12.0269 amu

 Target Density =  1.7244E+00 g/cm3 = 5.1850E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    033.33    046.74   
      O      8    066.67    053.26   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 110.00 keV   7.346E-01  9.933E-02    7998 A      1978 A      1955 A   
 120.00 keV   7.719E-01  9.372E-02    8612 A      2055 A      2059 A   
 130.00 keV   8.077E-01  8.879E-02    9208 A      2125 A      2156 A   
 140.00 keV   8.423E-01  8.441E-02    9788 A      2189 A      2247 A   
 150.00 keV   8.760E-01  8.049E-02    1.04 um     2247 A      2332 A   
 160.00 keV   9.087E-01  7.697E-02    1.09 um     2301 A      2412 A   
 170.00 keV   9.407E-01  7.377E-02    1.14 um     2352 A      2488 A   
 180.00 keV   9.720E-01  7.087E-02    1.20 um     2398 A      2559 A   
 200.00 keV   1.033E+00  6.576E-02    1.30 um     2483 A      2691 A   
 225.00 keV   1.106E+00  6.043E-02    1.42 um     2576 A      2837 A   
 250.00 keV   1.177E+00  5.598E-02    1.53 um     2656 A      2968 A   
 275.00 keV   1.245E+00  5.220E-02    1.64 um     2725 A      3085 A   
 300.00 keV   1.311E+00  4.895E-02    1.75 um     2786 A      3190 A   
 325.00 keV   1.376E+00  4.612E-02    1.85 um     2840 A      3286 A   
 350.00 keV   1.439E+00  4.363E-02    1.94 um     2888 A      3373 A   
 375.00 keV   1.500E+00  4.143E-02    2.03 um     2931 A      3454 A   
 400.00 keV   1.560E+00  3.945E-02    2.12 um     2970 A      3528 A   
 450.00 keV   1.676E+00  3.607E-02    2.29 um     3042 A      3660 A   
