 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.0100E-01 g/cm3 = 6.0100E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   1.063E+00  1.043E+00    2705 A       361 A       337 A   
  13.00 keV   1.106E+00  1.004E+00    2932 A       383 A       361 A   
  14.00 keV   1.148E+00  9.693E-01    3159 A       405 A       384 A   
  15.00 keV   1.188E+00  9.368E-01    3386 A       425 A       408 A   
  16.00 keV   1.227E+00  9.069E-01    3612 A       445 A       430 A   
  17.00 keV   1.265E+00  8.791E-01    3837 A       464 A       452 A   
  18.00 keV   1.302E+00  8.532E-01    4061 A       483 A       474 A   
  20.00 keV   1.372E+00  8.065E-01    4507 A       520 A       517 A   
  22.50 keV   1.455E+00  7.559E-01    5057 A       564 A       568 A   
  25.00 keV   1.543E+00  7.122E-01    5600 A       604 A       617 A   
  27.50 keV   1.624E+00  6.740E-01    6132 A       641 A       663 A   
  30.00 keV   1.685E+00  6.403E-01    6658 A       676 A       708 A   
  32.50 keV   1.732E+00  6.103E-01    7179 A       709 A       751 A   
  35.00 keV   1.770E+00  5.833E-01    7697 A       740 A       792 A   
  37.50 keV   1.802E+00  5.590E-01    8214 A       770 A       832 A   
  40.00 keV   1.828E+00  5.369E-01    8730 A       799 A       871 A   
  45.00 keV   1.875E+00  4.982E-01    9762 A       860 A       947 A   
  50.00 keV   1.916E+00  4.654E-01    1.08 um      916 A      1019 A   
  55.00 keV   1.957E+00  4.372E-01    1.18 um      969 A      1088 A   
  60.00 keV   1.998E+00  4.126E-01    1.28 um     1019 A      1155 A   
  65.00 keV   2.041E+00  3.909E-01    1.38 um     1066 A      1219 A   
  70.00 keV   2.086E+00  3.717E-01    1.49 um     1110 A      1281 A   
  80.00 keV   2.179E+00  3.391E-01    1.68 um     1207 A      1398 A   
  90.00 keV   2.277E+00  3.123E-01    1.88 um     1294 A      1506 A   
 100.00 keV   2.376E+00  2.898E-01    2.06 um     1371 A      1607 A   
 110.00 keV   2.477E+00  2.707E-01    2.24 um     1440 A      1700 A   
 120.00 keV   2.576E+00  2.543E-01    2.42 um     1502 A      1787 A   
 130.00 keV   2.674E+00  2.399E-01    2.59 um     1559 A      1868 A   
 140.00 keV   2.770E+00  2.272E-01    2.76 um     1611 A      1944 A   
 150.00 keV   2.863E+00  2.159E-01    2.92 um     1658 A      2015 A   
 160.00 keV   2.953E+00  2.058E-01    3.08 um     1702 A      2082 A   
 170.00 keV   3.040E+00  1.967E-01    3.24 um     1743 A      2145 A   
 180.00 keV   3.124E+00  1.885E-01    3.39 um     1781 A      2205 A   
 200.00 keV   3.283E+00  1.741E-01    3.68 um     1873 A      2315 A   
 225.00 keV   3.464E+00  1.592E-01    4.03 um     1984 A      2438 A   
 250.00 keV   3.630E+00  1.469E-01    4.36 um     2080 A      2548 A   
