 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silver

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0473E+01 g/cm3 = 5.8467E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  13.00 keV   1.624E-01  1.195E-01     163 A       179 A       134 A   
  14.00 keV   1.685E-01  1.194E-01     174 A       189 A       141 A   
  15.00 keV   1.744E-01  1.192E-01     185 A       198 A       148 A   
  16.00 keV   1.801E-01  1.189E-01     196 A       207 A       156 A   
  17.00 keV   1.857E-01  1.185E-01     207 A       216 A       163 A   
  18.00 keV   1.910E-01  1.181E-01     218 A       225 A       170 A   
  20.00 keV   2.014E-01  1.172E-01     240 A       243 A       183 A   
  22.50 keV   2.136E-01  1.159E-01     268 A       264 A       200 A   
  25.00 keV   2.285E-01  1.145E-01     296 A       284 A       216 A   
  27.50 keV   2.463E-01  1.130E-01     323 A       303 A       231 A   
  30.00 keV   2.620E-01  1.115E-01     350 A       322 A       246 A   
  32.50 keV   2.758E-01  1.100E-01     376 A       340 A       261 A   
  35.00 keV   2.882E-01  1.085E-01     403 A       357 A       275 A   
  37.50 keV   2.995E-01  1.070E-01     429 A       374 A       288 A   
  40.00 keV   3.098E-01  1.055E-01     456 A       390 A       301 A   
  45.00 keV   3.284E-01  1.027E-01     509 A       421 A       327 A   
  50.00 keV   3.448E-01  9.993E-02     562 A       451 A       352 A   
  55.00 keV   3.598E-01  9.734E-02     615 A       479 A       376 A   
  60.00 keV   3.738E-01  9.488E-02     669 A       507 A       400 A   
  65.00 keV   3.870E-01  9.255E-02     722 A       534 A       423 A   
  70.00 keV   3.997E-01  9.034E-02     776 A       560 A       445 A   
  80.00 keV   4.239E-01  8.626E-02     883 A       609 A       489 A   
  90.00 keV   4.471E-01  8.257E-02     990 A       655 A       531 A   
 100.00 keV   4.697E-01  7.923E-02    1097 A       699 A       571 A   
 110.00 keV   4.917E-01  7.620E-02    1202 A       740 A       609 A   
 120.00 keV   5.134E-01  7.342E-02    1307 A       780 A       646 A   
 130.00 keV   5.348E-01  7.087E-02    1410 A       817 A       682 A   
 140.00 keV   5.559E-01  6.853E-02    1512 A       852 A       717 A   
 150.00 keV   5.767E-01  6.635E-02    1614 A       885 A       750 A   
 160.00 keV   5.972E-01  6.434E-02    1713 A       917 A       782 A   
 170.00 keV   6.175E-01  6.246E-02    1812 A       947 A       812 A   
 180.00 keV   6.376E-01  6.071E-02    1909 A       976 A       842 A   
 200.00 keV   6.769E-01  5.754E-02    2100 A      1029 A       899 A   
 225.00 keV   7.246E-01  5.408E-02    2332 A      1090 A       964 A   
 250.00 keV   7.708E-01  5.107E-02    2557 A      1144 A      1025 A   
 275.00 keV   8.155E-01  4.843E-02    2774 A      1193 A      1080 A   
 300.00 keV   8.586E-01  4.609E-02    2986 A      1237 A      1132 A   
 325.00 keV   9.004E-01  4.400E-02    3191 A      1278 A      1181 A   
 350.00 keV   9.408E-01  4.212E-02    3391 A      1315 A      1226 A   
 375.00 keV   9.798E-01  4.041E-02    3586 A      1350 A      1269 A   
 400.00 keV   1.018E+00  3.886E-02    3776 A      1381 A      1309 A   
 450.00 keV   1.090E+00  3.614E-02    4143 A      1438 A      1383 A   
 500.00 keV   1.157E+00  3.382E-02    4494 A      1488 A      1450 A   
 550.00 keV   1.221E+00  3.182E-02    4832 A      1533 A      1511 A   
 600.00 keV   1.282E+00  3.007E-02    5158 A      1572 A      1567 A   
 650.00 keV   1.339E+00  2.853E-02    5473 A      1607 A      1618 A   
 700.00 keV   1.393E+00  2.716E-02    5779 A      1639 A      1665 A   
 800.00 keV   1.493E+00  2.482E-02    6365 A      1696 A      1751 A   
 900.00 keV   1.584E+00  2.289E-02    6924 A      1745 A      1827 A   
   1.00 MeV   1.666E+00  2.127E-02    7458 A      1787 A      1895 A   
   1.10 MeV   1.742E+00  1.990E-02    7973 A      1824 A      1956 A   
   1.20 MeV   1.812E+00  1.870E-02    8470 A      1857 A      2012 A   
   1.30 MeV   1.877E+00  1.766E-02    8952 A      1886 A      2064 A   
   1.40 MeV   1.937E+00  1.674E-02    9421 A      1913 A      2112 A   
   1.50 MeV   1.992E+00  1.592E-02    9879 A      1938 A      2156 A   
   1.60 MeV   2.043E+00  1.519E-02    1.03 um     1960 A      2198 A   
   1.70 MeV   2.091E+00  1.453E-02    1.08 um     1981 A      2237 A   
   1.80 MeV   2.136E+00  1.393E-02    1.12 um     2001 A      2275 A   
   2.00 MeV   2.217E+00  1.288E-02    1.20 um     2038 A      2344 A   
   2.25 MeV   2.304E+00  1.179E-02    1.30 um     2079 A      2421 A   
   2.50 MeV   2.378E+00  1.088E-02    1.40 um     2116 A      2492 A   
   2.75 MeV   2.441E+00  1.012E-02    1.50 um     2149 A      2556 A   
   3.00 MeV   2.495E+00  9.467E-03    1.59 um     2179 A      2616 A   
   3.25 MeV   2.541E+00  8.900E-03    1.69 um     2206 A      2672 A   
   3.50 MeV   2.580E+00  8.403E-03    1.78 um     2232 A      2725 A   
   3.75 MeV   2.613E+00  7.963E-03    1.87 um     2256 A      2775 A   
   4.00 MeV   2.641E+00  7.571E-03    1.96 um     2279 A      2822 A   
   4.50 MeV   2.684E+00  6.901E-03    2.13 um     2327 A      2911 A   
   5.00 MeV   2.713E+00  6.349E-03    2.31 um     2371 A      2994 A   
   5.50 MeV   2.731E+00  5.886E-03    2.48 um     2413 A      3072 A   
   6.00 MeV   2.741E+00  5.490E-03    2.65 um     2452 A      3146 A   
   6.50 MeV   2.744E+00  5.149E-03    2.82 um     2490 A      3217 A   
   7.00 MeV   2.741E+00  4.851E-03    2.99 um     2526 A      3285 A   
   8.00 MeV   2.724E+00  4.354E-03    3.34 um     2618 A      3416 A   
   9.00 MeV   2.695E+00  3.956E-03    3.69 um     2706 A      3541 A   
  10.00 MeV   2.659E+00  3.629E-03    4.04 um     2792 A      3663 A   
  11.00 MeV   2.617E+00  3.356E-03    4.40 um     2876 A      3781 A   
  12.00 MeV   2.573E+00  3.124E-03    4.77 um     2959 A      3898 A   
  13.00 MeV   2.527E+00  2.924E-03    5.14 um     3041 A      4014 A   
