 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 03, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Boron

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  13.00 keV   7.807E-01  6.243E-01     347 A       114 A        87 A   
  14.00 keV   8.101E-01  6.070E-01     372 A       120 A        92 A   
  15.00 keV   8.386E-01  5.908E-01     398 A       126 A        97 A   
  16.00 keV   8.661E-01  5.755E-01     423 A       132 A       102 A   
  17.00 keV   8.927E-01  5.612E-01     449 A       137 A       107 A   
  18.00 keV   9.186E-01  5.476E-01     474 A       143 A       112 A   
  20.00 keV   9.683E-01  5.228E-01     524 A       153 A       122 A   
  22.50 keV   1.027E+00  4.952E-01     585 A       165 A       134 A   
  25.00 keV   1.148E+00  4.708E-01     645 A       176 A       145 A   
  27.50 keV   1.310E+00  4.491E-01     701 A       186 A       156 A   
  30.00 keV   1.415E+00  4.296E-01     753 A       194 A       165 A   
  32.50 keV   1.487E+00  4.120E-01     804 A       201 A       175 A   
  35.00 keV   1.538E+00  3.961E-01     854 A       208 A       183 A   
  37.50 keV   1.576E+00  3.815E-01     904 A       215 A       191 A   
  40.00 keV   1.608E+00  3.681E-01     953 A       222 A       199 A   
  45.00 keV   1.663E+00  3.444E-01    1051 A       234 A       214 A   
  50.00 keV   1.715E+00  3.240E-01    1148 A       245 A       228 A   
  55.00 keV   1.768E+00  3.062E-01    1244 A       256 A       241 A   
  60.00 keV   1.824E+00  2.905E-01    1339 A       266 A       254 A   
  65.00 keV   1.882E+00  2.766E-01    1433 A       275 A       266 A   
  70.00 keV   1.940E+00  2.641E-01    1524 A       284 A       277 A   
  80.00 keV   2.056E+00  2.427E-01    1703 A       300 A       298 A   
  90.00 keV   2.167E+00  2.249E-01    1876 A       314 A       318 A   
 100.00 keV   2.270E+00  2.098E-01    2042 A       327 A       336 A   
 110.00 keV   2.365E+00  1.969E-01    2204 A       338 A       352 A   
 120.00 keV   2.451E+00  1.857E-01    2362 A       348 A       367 A   
 130.00 keV   2.529E+00  1.758E-01    2515 A       358 A       382 A   
 140.00 keV   2.602E+00  1.670E-01    2665 A       366 A       395 A   
 150.00 keV   2.669E+00  1.592E-01    2813 A       374 A       408 A   
 160.00 keV   2.732E+00  1.522E-01    2957 A       382 A       420 A   
 170.00 keV   2.793E+00  1.458E-01    3099 A       389 A       431 A   
 180.00 keV   2.850E+00  1.400E-01    3239 A       396 A       442 A   
 200.00 keV   2.960E+00  1.298E-01    3512 A       409 A       463 A   
 225.00 keV   3.087E+00  1.192E-01    3843 A       424 A       486 A   
 250.00 keV   3.208E+00  1.104E-01    4162 A       437 A       507 A   
 275.00 keV   3.322E+00  1.029E-01    4472 A       449 A       527 A   
 300.00 keV   3.431E+00  9.642E-02    4773 A       460 A       545 A   
 325.00 keV   3.535E+00  9.081E-02    5066 A       470 A       561 A   
 350.00 keV   3.636E+00  8.588E-02    5351 A       479 A       577 A   
 375.00 keV   3.734E+00  8.151E-02    5630 A       487 A       591 A   
 400.00 keV   3.829E+00  7.760E-02    5902 A       495 A       605 A   
 450.00 keV   4.011E+00  7.091E-02    6428 A       512 A       630 A   
 500.00 keV   4.185E+00  6.537E-02    6934 A       526 A       652 A   
 550.00 keV   4.352E+00  6.071E-02    7420 A       539 A       672 A   
 600.00 keV   4.513E+00  5.672E-02    7890 A       551 A       691 A   
 650.00 keV   4.667E+00  5.326E-02    8345 A       561 A       708 A   
 700.00 keV   4.815E+00  5.024E-02    8785 A       571 A       724 A   
 800.00 keV   5.092E+00  4.519E-02    9631 A       593 A       752 A   
 900.00 keV   5.346E+00  4.114E-02    1.04 um      613 A       776 A   
   1.00 MeV   5.578E+00  3.780E-02    1.12 um      630 A       798 A   
   1.10 MeV   5.787E+00  3.501E-02    1.19 um      645 A       818 A   
   1.20 MeV   5.977E+00  3.263E-02    1.27 um      659 A       835 A   
   1.30 MeV   6.147E+00  3.057E-02    1.34 um      671 A       852 A   
   1.40 MeV   6.299E+00  2.878E-02    1.40 um      683 A       867 A   
   1.50 MeV   6.435E+00  2.720E-02    1.47 um      694 A       881 A   
   1.60 MeV   6.556E+00  2.580E-02    1.53 um      704 A       894 A   
   1.70 MeV   6.664E+00  2.454E-02    1.60 um      713 A       906 A   
   1.80 MeV   6.758E+00  2.342E-02    1.66 um      723 A       918 A   
   2.00 MeV   6.915E+00  2.146E-02    1.79 um      750 A       940 A   
   2.25 MeV   7.059E+00  1.946E-02    1.94 um      787 A       965 A   
   2.50 MeV   7.158E+00  1.783E-02    2.09 um      821 A       987 A   
   2.75 MeV   7.220E+00  1.646E-02    2.23 um      852 A      1008 A   
   3.00 MeV   7.255E+00  1.531E-02    2.38 um      882 A      1028 A   
   3.25 MeV   7.268E+00  1.431E-02    2.53 um      911 A      1047 A   
   3.50 MeV   7.264E+00  1.344E-02    2.67 um      938 A      1065 A   
   3.75 MeV   7.248E+00  1.268E-02    2.82 um      965 A      1082 A   
   4.00 MeV   7.221E+00  1.201E-02    2.96 um      991 A      1099 A   
   4.50 MeV   7.147E+00  1.087E-02    3.26 um     1083 A      1131 A   
   5.00 MeV   7.054E+00  9.936E-03    3.56 um     1169 A      1162 A   
   5.50 MeV   6.952E+00  9.161E-03    3.86 um     1252 A      1191 A   
   6.00 MeV   6.845E+00  8.504E-03    4.17 um     1331 A      1221 A   
   6.50 MeV   6.736E+00  7.940E-03    4.48 um     1408 A      1249 A   
   7.00 MeV   6.628E+00  7.451E-03    4.80 um     1484 A      1278 A   
   8.00 MeV   6.418E+00  6.642E-03    5.45 um     1756 A      1334 A   
   9.00 MeV   6.218E+00  6.001E-03    6.13 um     2006 A      1391 A   
  10.00 MeV   6.029E+00  5.478E-03    6.82 um     2242 A      1447 A   
  11.00 MeV   5.851E+00  5.043E-03    7.54 um     2467 A      1504 A   
  12.00 MeV   5.684E+00  4.676E-03    8.27 um     2686 A      1562 A   
  13.00 MeV   5.526E+00  4.362E-03    9.03 um     2900 A      1621 A   
  14.00 MeV   5.376E+00  4.089E-03    9.81 um     3110 A      1680 A   
  15.00 MeV   5.234E+00  3.850E-03   10.61 um     3318 A      1741 A   
  16.00 MeV   5.098E+00  3.639E-03   11.44 um     3523 A      1803 A   
  17.00 MeV   4.968E+00  3.451E-03   12.28 um     3728 A      1866 A   
  18.00 MeV   4.845E+00  3.283E-03   13.15 um     3932 A      1930 A   
  20.00 MeV   4.612E+00  2.993E-03   14.95 um     4697 A      2062 A   
  22.50 MeV   4.347E+00  2.699E-03   17.32 um     5789 A      2235 A   
  25.00 MeV   4.131E+00  2.460E-03   19.83 um     6805 A      2416 A   
  27.50 MeV   3.939E+00  2.262E-03   22.47 um     7774 A      2605 A   
  30.00 MeV   3.744E+00  2.094E-03   25.23 um     8720 A      2802 A   
  32.50 MeV   3.577E+00  1.951E-03   28.14 um     9655 A      3008 A   
  35.00 MeV   3.422E+00  1.827E-03   31.18 um     1.06 um     3223 A   
  37.50 MeV   3.278E+00  1.719E-03   34.35 um     1.15 um     3446 A   
  40.00 MeV   3.143E+00  1.623E-03   37.67 um     1.24 um     3677 A   
  45.00 MeV   2.902E+00  1.462E-03   44.71 um     1.60 um     4167 A   
  50.00 MeV   2.692E+00  1.331E-03   52.32 um     1.93 um     4693 A   
  55.00 MeV   2.508E+00  1.223E-03   60.51 um     2.25 um     5256 A   
  60.00 MeV   2.348E+00  1.132E-03   69.27 um     2.58 um     5856 A   
  65.00 MeV   2.206E+00  1.054E-03   78.62 um     2.90 um     6493 A   
  70.00 MeV   2.081E+00  9.860E-04   88.55 um     3.22 um     7169 A   
  80.00 MeV   1.871E+00  8.750E-04  110.11 um     4.45 um     8631 A   
  90.00 MeV   1.703E+00  7.873E-04  133.94 um     5.59 um     1.02 um  
 100.00 MeV   1.566E+00  7.162E-04  160.00 um     6.70 um     1.20 um  
 110.00 MeV   1.452E+00  6.574E-04  188.22 um     7.81 um     1.39 um  
 120.00 MeV   1.356E+00  6.079E-04  218.55 um     8.92 um     1.59 um  
 130.00 MeV   1.273E+00  5.657E-04  250.93 um    10.03 um     1.81 um  
 140.00 MeV   1.202E+00  5.291E-04  285.31 um    11.16 um     2.04 um  
 150.00 MeV   1.139E+00  4.972E-04  321.67 um    12.30 um     2.28 um  
 160.00 MeV   1.084E+00  4.691E-04  359.95 um    13.45 um     2.53 um  
 170.00 MeV   1.034E+00  4.441E-04  400.15 um    14.61 um     2.80 um  
 180.00 MeV   9.882E-01  4.217E-04  442.25 um    15.79 um     3.08 um  
 200.00 MeV   9.088E-01  3.834E-04  532.04 um    20.29 um     3.67 um  
 225.00 MeV   8.256E-01  3.446E-04  654.85 um    26.74 um     4.47 um  
 250.00 MeV   7.558E-01  3.132E-04  789.52 um    32.87 um     5.35 um  
 275.00 MeV   6.966E-01  2.873E-04  936.13 um    38.90 um     6.29 um  
 300.00 MeV   6.462E-01  2.654E-04    1.09 mm    44.94 um     7.32 um  
 325.00 MeV   6.038E-01  2.468E-04    1.26 mm    51.03 um     8.41 um  
 350.00 MeV   5.687E-01  2.307E-04    1.45 mm    57.16 um     9.58 um  
 375.00 MeV   5.382E-01  2.167E-04    1.64 mm    63.35 um    10.81 um  
 400.00 MeV   5.105E-01  2.043E-04    1.84 mm    69.60 um    12.10 um  
 450.00 MeV   4.637E-01  1.835E-04    2.28 mm    93.21 um    14.89 um  
 500.00 MeV   4.256E-01  1.667E-04    2.76 mm   115.33 um    17.93 um  
 550.00 MeV   3.940E-01  1.528E-04    3.28 mm   136.86 um    21.21 um  
 600.00 MeV   3.673E-01  1.411E-04    3.84 mm   158.18 um    24.73 um  
 650.00 MeV   3.445E-01  1.312E-04    4.43 mm   179.50 um    28.49 um  
 700.00 MeV   3.247E-01  1.226E-04    5.07 mm   200.92 um    32.46 um  
 800.00 MeV   2.921E-01  1.085E-04    6.45 mm   280.56 um    41.07 um  
 900.00 MeV   2.664E-01  9.735E-05    7.98 mm   354.21 um    50.51 um  
   1.00 GeV   2.455E-01  8.839E-05    9.64 mm   425.55 um    60.74 um  
   1.10 GeV   2.283E-01  8.098E-05   11.44 mm   496.02 um    71.73 um  
   1.20 GeV   2.137E-01  7.476E-05   13.37 mm   566.27 um    83.45 um  
   1.30 GeV   2.013E-01  6.946E-05   15.42 mm   636.64 um    95.85 um  
   1.40 GeV   1.906E-01  6.488E-05   17.59 mm   707.30 um   108.92 um  
   1.50 GeV   1.812E-01  6.089E-05   19.88 mm   778.33 um   122.63 um  
   1.60 GeV   1.729E-01  5.738E-05   22.28 mm   849.76 um   136.94 um  
   1.70 GeV   1.656E-01  5.426E-05   24.80 mm   921.61 um   151.84 um  
   1.80 GeV   1.591E-01  5.148E-05   27.42 mm   993.87 um   167.30 um  
   2.00 GeV   1.479E-01  4.671E-05   32.97 mm     1.27 mm   199.83 um  
   2.25 GeV   1.366E-01  4.190E-05   40.45 mm     1.65 mm   243.27 um  
   2.50 GeV   1.275E-01  3.802E-05   48.51 mm     2.01 mm   289.54 um  
   2.75 GeV   1.200E-01  3.481E-05   57.11 mm     2.35 mm   338.36 um  
   3.00 GeV   1.137E-01  3.212E-05   66.22 mm     2.68 mm   389.50 um  
   3.25 GeV   1.084E-01  2.983E-05   75.80 mm     3.01 mm   442.75 um  
   3.50 GeV   1.038E-01  2.785E-05   85.83 mm     3.32 mm   497.91 um  
   3.75 GeV   9.987E-02  2.613E-05   96.27 mm     3.64 mm   554.81 um  
   4.00 GeV   9.640E-02  2.461E-05  107.11 mm     3.95 mm   613.29 um  
   4.50 GeV   9.062E-02  2.207E-05  129.88 mm     5.10 mm   734.47 um  
   5.00 GeV   8.601E-02  2.002E-05  153.98 mm     6.14 mm   860.39 um  
